shortest_path	target_node
>KRAS>APP>GFAP	GFAP
>KRAS>UBC>GFAP	GFAP
>KRAS>UBC>MAP4K4>GBP3	GBP3
>KRAS>UBC>ZNF284	ZNF284
>KRAS>UBC>LRPPRC	LRPPRC
>KRAS>UBC>VCPIP1>ABCC12	ABCC12
>KRAS>SHOC2>MYC>GCHFR	GCHFR
>KRAS>RAF1>MYC>GCHFR	GCHFR
>KRAS>DNAJA3>MYC>GCHFR	GCHFR
>KRAS>UBC>MYC>GCHFR	GCHFR
>KRAS>HDAC1>MYC>GCHFR	GCHFR
>KRAS>HDAC3>MYC>GCHFR	GCHFR
>KRAS>CALM1>MYC>GCHFR	GCHFR
>KRAS>MAPK1>MYC>GCHFR	GCHFR
>KRAS>ELAVL1>MYC>GCHFR	GCHFR
>KRAS>HNRNPC>MYC>GCHFR	GCHFR
>KRAS>UBC>KDM5B>PRDM13	PRDM13
>KRAS>HDAC1>KDM5B>PRDM13	PRDM13
>KRAS>HDAC3>KDM5B>PRDM13	PRDM13
>KRAS>ELAVL1>KDM5B>PRDM13	PRDM13
>KRAS>UBC>USP22>POFUT2	POFUT2
>KRAS>SIRT1>USP22>POFUT2	POFUT2
>KRAS>UBC>CNTROB	CNTROB
>KRAS>RAF1>NEDD4L>EFEMP2	EFEMP2
>KRAS>UBC>NEDD4L>EFEMP2	EFEMP2
>KRAS>ELAVL1>NEDD4L>EFEMP2	EFEMP2
