STUDY_ID	SAMPLE_ID	EGFR
blca_tcga_pan_can_atlas_2018	TCGA-GU-AATP-01	440.703
blca_tcga_pan_can_atlas_2018	TCGA-GU-AATQ-01	851.716
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JV-01	1048.46
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JW-01	5994.05
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JX-01	700.471
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JZ-01	224.284
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QF-01	27115.5
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QG-01	1875.75
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QH-01	262.771
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QI-01	1459.61
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3QK-01	149.719
